date,transactions,total_volume_sold_gallons,total_volume_sold_liters,total_revenue_sales,avg_revenue_sales,min_revenue_sales,max_revenue_sales
2012-01-03,10147,19514.090000000018,73864.929999999949,1012493.8099999995,99.782577116389049,1.81,7422.0
2012-01-04,9263,17095.600000000013,64712.61,860053.72999999963,92.848292129979527,2.56,5144.04
2012-01-05,8795,17055.680000000011,64551.249999999971,940194.93000000028,106.90107220011372,1.46,14784.0
2012-01-09,9186,18312.290000000012,69316.690000000031,933835.49999999965,101.65855649902022,2.66,6420.0
2012-01-10,8732,17989.24,68093.55,900077.60999999952,103.07805886394875,2.3,7273.2
2012-01-11,7692,16175.310000000005,61226.969999999987,773739.73,100.59018850754028,1.5,6534.0
2012-01-12,8596,18266.429999999989,69134.570000000022,927338.65999999992,107.88025360632852,1.81,12840.0
2012-01-16,8062,19032.010000000002,72041.68,968646.51999999979,120.14965517241379,2.63,26808.0
2012-01-17,8995,19122.270000000008,72385.62,921105.55999999994,102.40195219566426,1.81,9436.5
2012-01-18,7682,17774.550000000007,67285.91,850387.49,110.69870997136162,2.6,17693.28
2012-01-19,8654,20225.410000000011,76553.93,1021175.9000000001,118.00045065865497,1.81,10257.6
2012-01-23,8048,19362.720000000008,73291.540000000023,985418.4099999991,122.44264537773357,2.64,16262.4
2012-01-24,9180,21227.230000000007,80353.71,1013018.2899999999,110.35057625272333,1.74,12840.0
2012-01-25,7904,17008.47,64383.200000000012,764709.31,96.749659665991913,2.6,6420.0
2012-01-26,8968,20162.630000000005,76317.68,1016554.7899999998,113.35356712756472,1.65,8712.0
2012-01-27,29,19.2,72.8,796.36,27.460689655172409,9.33,62.92
2012-01-30,8327,20520.769999999993,77676.350000000064,986696.5299999998,118.53634430562232,1.81,6420.0
2012-01-31,9510,21350.429999999997,80819.499999999985,1039951.0899999994,109.43397769125545,2.3,4872.36
2012-02-01,8561,18970.040000000012,71807.470000000016,906994.6599999998,105.94494334773971,0.0,8952.0
